{78, 98, 118, 97, 104, 10},
{80, 98, 116, 95, 103, 10},
{83, 98, 114, 93, 102, 10},
{85, 98, 112, 91, 100, 10},
{88, 98, 110, 89, 99, 10},
{90, 99, 108, 87, 97, 10},
{93, 99, 107, 85, 96, 10},
{95, 99, 105, 82, 95, 10},
{98, 99, 103, 80, 93, 10},
{101, 99, 101, 78, 92, 10},
{103, 99, 99, 76, 90, 10},
{106, 100, 97, 73, 89, 10},
{109, 100, 95, 71, 87, 10},
{112, 100, 92, 69, 85, 10},
{115, 100, 90, 67, 84, 10},
{118, 100, 88, 64, 82, 10},
{120, 100, 86, 62, 81, 10},
{123, 101, 84, 59, 79, 10},
{127, 101, 82, 57, 77, 10},
{130, 101, 79, 54, 75, 10},
{133, 101, 77, 52, 74, 10},
{136, 101, 75, 49, 72, 10},
{139, 102, 72, 47, 70, 10},
{142, 102, 70, 44, 68, 10},
{146, 102, 67, 41, 67, 10},
{148, 102, 66, 39, 65, 10},
{150, 102, 64, 37, 64, 10},
{152, 102, 62, 36, 63, 10},
{155, 103, 61, 34, 61, 10},
{157, 103, 59, 32, 60, 10},
{162, 103, 55, 28, 57, 10},
{165, 103, 53, 25, 56, 10},
{169, 103, 50, 22, 54, 10},
{171, 104, 48, 20, 52, 10},
{174, 104, 46, 17, 50, 10},
{174, 104, 46, 17, 50, 73},
{174, 104, 46, 17, 50, 10},
{166, 106, 47, 20, 54, 10},
{158, 109, 47, 23, 58, 10},
{151, 111, 48, 26, 61, 10},
{143, 113, 49, 29, 65, 10},
{136, 115, 49, 31, 68, 10},
{130, 117, 50, 34, 71, 10},
{124, 119, 50, 36, 74, 10},
{119, 121, 51, 38, 76, 10},
{115, 122, 51, 39, 78, 10},
{112, 123, 51, 40, 79, 10},
{109, 124, 51, 41, 80, 10},
{107, 124, 52, 42, 82, 10},
{105, 125, 52, 42, 82, 10},
{104, 125, 52, 43, 83, 10},
{103, 125, 52, 43, 83, 10},
{102, 126, 52, 44, 84, 10},
{101, 126, 52, 44, 84, 10},
{99, 127, 52, 45, 85, 10},
{97, 127, 52, 45, 86, 10},
{96, 128, 53, 46, 87, 10},
{94, 128, 53, 46, 87, 10},
{93, 128, 53, 47, 88, 10},
{91, 129, 53, 48, 89, 10},
{90, 129, 53, 48, 90, 10},
{90, 129, 53, 48, 90, 73},
{90, 129, 53, 48, 90, 10},
{91, 128, 51, 51, 90, 10},
{92, 126, 49, 53, 90, 10},
{94, 124, 48, 55, 90, 10},
{95, 122, 46, 58, 90, 10},
{96, 120, 44, 60, 90, 10},
{98, 119, 42, 62, 91, 10},
{99, 117, 40, 65, 91, 10},
{100, 115, 39, 67, 91, 10},
{102, 112, 35, 71, 91, 10},
{105, 109, 32, 75, 92, 10},
{107, 106, 29, 79, 92, 10},
{109, 103, 27, 83, 92, 10},
{111, 100, 24, 86, 93, 10},
{113, 98, 22, 89, 93, 10},
{114, 95, 19, 92, 93, 10},
{116, 93, 17, 95, 93, 10},
{117, 91, 15, 97, 94, 10},
{118, 90, 14, 100, 94, 10},
{120, 88, 12, 102, 94, 10},
{121, 86, 10, 104, 94, 10},
{121, 86, 10, 104, 94, 73},
{90, 90, 90, 90, 90, 10},
{95, 88, 91, 91, 88, 10},
{101, 86, 92, 92, 87, 10},
{107, 85, 94, 93, 86, 10},
{113, 83, 95, 94, 85, 10},
{118, 82, 97, 95, 84, 10},
{123, 81, 98, 96, 83, 10},
{127, 80, 99, 97, 82, 10},
{132, 78, 100, 98, 81, 10},
{136, 77, 101, 99, 81, 10},
{140, 76, 102, 100, 80, 10},
{143, 75, 103, 100, 79, 10},
{147, 75, 104, 101, 78, 10},
{149, 74, 105, 102, 78, 10},
{152, 73, 106, 102, 77, 10},
{155, 72, 106, 103, 77, 10},
{158, 72, 107, 103, 76, 10},
